rank,pais,codigo_pais,confederacion,puntos,puntos_previos,posicion_previa,movimiento,partidos,fecha_publicacion,proxima_publicacion
22,Türkiye,TUR,UEFA,1599.04,1582.69,25,3,45,2026-04-01T13:00:00+00:00,
23,Ecuador,ECU,CONMEBOL,1594.78,1591.73,23,0,46,2026-04-01T13:00:00+00:00,
24,Austria,AUT,UEFA,1593.45,1585.51,24,0,44,2026-04-01T13:00:00+00:00,
25,Korea Republic,KOR,AFC,1588.66,1599.45,22,-3,56,2026-04-01T13:00:00+00:00,
26,Nigeria,NGA,CAF,1585.09,1581.55,26,0,60,2026-04-01T13:00:00+00:00,
27,Australia,AUS,AFC,1580.67,1574.01,27,0,45,2026-04-01T13:00:00+00:00,
28,Algeria,ALG,CAF,1564.26,1560.91,28,0,65,2026-04-01T13:00:00+00:00,
29,Egypt,EGY,CAF,1563.24,1556.71,31,2,53,2026-04-01T13:00:00+00:00,
30,Canada,CAN,CONCACAF,1556.48,1559.15,29,-1,49,2026-04-01T13:00:00+00:00,
31,Norway,NOR,UEFA,1550.94,1553.14,32,1,40,2026-04-01T13:00:00+00:00,
32,Ukraine,UKR,UEFA,1546.88,1557.47,30,-2,42,2026-04-01T13:00:00+00:00,
33,Panama,PAN,CONCACAF,1540.64,1539.47,33,0,53,2026-04-01T13:00:00+00:00,
34,Côte d'Ivoire,CIV,CAF,1532.98,1522.48,37,3,57,2026-04-01T13:00:00+00:00,
35,Poland,POL,UEFA,1528.0,1532.04,34,-1,46,2026-04-01T13:00:00+00:00,
36,Russia,RUS,UEFA,1525.6,1524.52,36,0,24,2026-04-01T13:00:00+00:00,
37,Wales,WAL,UEFA,1524.29,1529.71,35,-2,42,2026-04-01T13:00:00+00:00,
38,Sweden,SWE,UEFA,1514.77,1487.13,42,4,43,2026-04-01T13:00:00+00:00,
39,Serbia,SRB,UEFA,1508.65,1506.34,39,0,46,2026-04-01T13:00:00+00:00,
40,Paraguay,PAR,CONMEBOL,1503.5,1501.5,40,0,39,2026-04-01T13:00:00+00:00,
41,Czechia,CZE,UEFA,1501.38,1487.0,43,2,43,2026-04-01T13:00:00+00:00,
42,Hungary,HUN,UEFA,1500.58,1496.29,41,-1,43,2026-04-01T13:00:00+00:00,
43,Scotland,SCO,UEFA,1498.35,1506.77,38,-5,43,2026-04-01T13:00:00+00:00,
44,Tunisia,TUN,CAF,1483.05,1479.04,47,3,51,2026-04-01T13:00:00+00:00,
45,Cameroon,CMR,CAF,1481.24,1482.39,45,0,50,2026-04-01T13:00:00+00:00,
46,Congo DR,COD,CAF,1478.35,1468.22,48,2,54,2026-04-01T13:00:00+00:00,
47,Greece,GRE,UEFA,1475.82,1480.38,46,-1,40,2026-04-01T13:00:00+00:00,
48,Slovakia,SVK,UEFA,1473.94,1485.65,44,-4,44,2026-04-01T13:00:00+00:00,
49,Venezuela,VEN,CONMEBOL,1468.05,1465.22,50,1,41,2026-04-01T13:00:00+00:00,
50,Uzbekistan,UZB,AFC,1465.34,1462.03,52,2,45,2026-04-01T13:00:00+00:00,
51,Costa Rica,CRC,CONCACAF,1459.9,1464.24,51,0,48,2026-04-01T13:00:00+00:00,
52,Mali,MLI,CAF,1459.13,1458.48,54,2,50,2026-04-01T13:00:00+00:00,
53,Peru,PER,CONMEBOL,1455.87,1459.57,53,0,40,2026-04-01T13:00:00+00:00,
54,Chile,CHI,CONMEBOL,1455.28,1457.84,55,1,41,2026-04-01T13:00:00+00:00,
