Grupo,date,Hora_UTC,home_team,away_team,city,country,temp_mean,precip_sum,wind_max,climate_stress,climate_risk,home_win_prob,draw_prob,away_win_prob,expected_total_goals,climate_adjusted_goal_diff
I,2026-06-26,15:00 UTC-4,Norway,France,Boston,United States,23.866666666666664,2.25,22.866666666666664,0.2162268518518517,bajo,0.04580842356289166,0.2589208333333333,0.695270743103775,2.5270185185185188,-1.6563952890946498
H,2026-06-26,18:00 UTC-6,Uruguay,Spain,Guadalajara,Mexico,20.8,2.0166666666666666,17.75,0.075625,bajo,0.11894018872964716,0.2336125,0.6474473112703528,2.6395,-1.0954403750000008
H,2026-06-26,19:00 UTC-5,Cape Verde,Saudi Arabia,Houston,United States,28.650000000000002,1.1166666666666665,19.183333333333334,0.33210648148148153,medio,0.2785728856311541,0.2797791666666667,0.4416479477021792,2.434314814814815,-0.26641002572016437
K,2026-06-27,19:30 UTC-4,Colombia,Portugal,Miami,United States,27.45,2.733333333333333,16.7,0.3295833333333333,medio,0.25710050770674386,0.279325,0.46357449229325615,2.4363333333333337,-0.34118950000000003
K,2026-06-27,19:30 UTC-4,DR Congo,Uzbekistan,Atlanta,United States,25.21666666666667,6.816666666666666,19.3,0.4040972222222223,medio,0.37278225566381956,0.2927375,0.33448024433618045,2.3767222222222224,0.060594878086419716
L,2026-06-27,17:00 UTC-4,Panama,England,New York/New Jersey,United States,23.28333333333333,7.1499999999999995,21.05,0.355486111111111,medio,0.060778851277686986,0.28398749999999995,0.655233648722313,2.4156111111111116,-1.3597647731481477
L,2026-06-27,17:00 UTC-4,Croatia,Ghana,Philadelphia,United States,23.333333333333332,7.0,18.2,0.3202777777777778,medio,0.6909021222560447,0.27765,0.031447877743955306,2.443777777777778,1.7958973580246913
J,2026-06-27,21:00 UTC-5,Jordan,Argentina,Dallas,United States,29.133333333333336,2.8333333333333335,21.883333333333336,0.4466203703703705,medio,0.01224193654116567,0.30039166666666667,0.6873663967921677,2.3427037037037035,-2.2056035061728387
J,2026-06-27,21:00 UTC-5,Algeria,Austria,Kansas City,United States,24.349999999999998,1.9666666666666666,13.983333333333334,0.17166666666666658,bajo,0.32921865953617196,0.2509,0.419881340463828,2.562666666666667,-0.15103122222222248
R32,2026-06-28,12:00 UTC-7,2A,2B,Los Angeles,United States,21.833333333333332,0.0,16.433333333333334,0.0,bajo,0.39,0.22,0.39,2.7,0.0
R32,2026-06-29,12:00 UTC-5,1C,2F,Houston,United States,28.233333333333334,3.1,19.666666666666668,0.3944907407407408,medio,0.35449583333333334,0.2910083333333333,0.35449583333333334,2.3844074074074078,0.0
R32,2026-06-29,16:30 UTC-4,1E,3A/B/C/D/F,Boston,United States,22.96666666666667,2.1333333333333333,18.016666666666666,0.12046296296296304,bajo,0.3791583333333333,0.24168333333333336,0.3791583333333333,2.60362962962963,0.0
R32,2026-06-29,19:00 UTC-6,1F,2C,Monterrey,Mexico,26.599999999999998,1.5333333333333332,17.383333333333336,0.24916666666666656,bajo,0.367575,0.26485,0.367575,2.500666666666667,0.0
R32,2026-06-30,17:00 UTC-4,1I,3C/D/F/G/H,New York/New Jersey,United States,25.53333333333333,4.716666666666667,18.466666666666665,0.32928240740740733,medio,0.3603645833333333,0.2792708333333333,0.3603645833333333,2.4365740740740742,0.0
R32,2026-06-30,12:00 UTC-5,2E,2I,Dallas,United States,29.666666666666668,0.8333333333333334,18.983333333333334,0.3616203703703704,medio,0.35745416666666663,0.2850916666666667,0.35745416666666663,2.410703703703704,0.0
R32,2026-06-30,19:00 UTC-6,1A,3C/E/F/H/I,Mexico City,Mexico,17.400000000000002,19.45,16.05,0.3,medio,0.363,0.274,0.363,2.46,0.0
R32,2026-07-01,12:00 UTC-4,1L,3E/H/I/J/K,Atlanta,United States,25.53333333333333,8.566666666666666,15.316666666666668,0.44722222222222213,medio,0.34975,0.3005,0.34975,2.3422222222222224,0.0
R32,2026-07-01,17:00 UTC-7,1D,3B/E/F/I/J,San Francisco Bay Area,United States,19.816666666666666,0.0,22.483333333333334,0.049814814814814826,bajo,0.3855166666666667,0.22896666666666668,0.3855166666666667,2.6601481481481484,0.0
R32,2026-07-01,13:00 UTC-7,1G,3A/E/H/I/J,Seattle,United States,18.25,0.8666666666666667,18.883333333333336,0.04231481481481485,bajo,0.38619166666666666,0.22761666666666666,0.38619166666666666,2.666148148148148,0.0
R32,2026-07-02,19:00 UTC-4,2K,2L,Toronto,Canada,21.816666666666666,3.733333333333334,17.166666666666668,0.14,bajo,0.3774,0.2452,0.3774,2.588,0.0
R32,2026-07-02,12:00 UTC-7,1H,2J,Los Angeles,United States,21.266666666666666,0.0,18.05,0.0005555555555555635,bajo,0.38995,0.2201,0.38995,2.699555555555556,0.0
R32,2026-07-02,20:00 UTC-7,1B,3E/F/G/I/J,Vancouver,Canada,17.150000000000002,0.7333333333333333,17.766666666666666,0.027499999999999997,bajo,0.387525,0.22495,0.387525,2.6780000000000004,0.0
R32,2026-07-03,18:00 UTC-4,1J,2H,Miami,United States,28.183333333333334,4.7,15.766666666666666,0.4338888888888889,medio,0.35095,0.2981,0.35095,2.352888888888889,0.0
R32,2026-07-03,20:30 UTC-5,1K,3D/E/I/J/L,Kansas City,United States,25.7,4.066666666666666,13.15,0.30666666666666664,medio,0.3624,0.2752,0.3624,2.4546666666666668,0.0
R32,2026-07-03,13:00 UTC-5,2D,2G,Dallas,United States,28.96666666666667,5.466666666666666,19.150000000000002,0.5080555555555556,alto,0.344275,0.31145,0.344275,2.293555555555556,0.0
R16,2026-07-04,12:00 UTC-5,W73,W75,Houston,United States,28.5,7.083333333333333,17.5,0.5364583333333333,alto,0.34171875,0.31656249999999997,0.34171875,2.2708333333333335,0.0
R16,2026-07-04,17:00 UTC-4,W74,W77,Philadelphia,United States,25.099999999999998,5.466666666666668,14.5,0.3341666666666666,medio,0.359925,0.28015,0.359925,2.432666666666667,0.0
R16,2026-07-05,16:00 UTC-4,W76,W78,New York/New Jersey,United States,24.883333333333336,1.45,18.95,0.18506944444444456,bajo,0.37334375,0.25331250000000005,0.37334375,2.5519444444444446,0.0
R16,2026-07-05,18:00 UTC-6,W79,W80,Mexico City,Mexico,17.7,8.799999999999999,13.549999999999999,0.3,medio,0.363,0.274,0.363,2.46,0.0
R16,2026-07-06,14:00 UTC-5,W83,W84,Dallas,United States,28.7,5.55,18.400000000000002,0.49173611111111104,alto,0.34574375,0.30851249999999997,0.34574375,2.306611111111111,0.0
R16,2026-07-06,17:00 UTC-7,W81,W82,Seattle,United States,19.516666666666666,0.13333333333333333,16.016666666666666,0.005,bajo,0.38955,0.2209,0.38955,2.696,0.0
R16,2026-07-07,12:00 UTC-4,W86,W88,Atlanta,United States,26.05,10.133333333333333,14.883333333333333,0.46875,alto,0.34781249999999997,0.304375,0.34781249999999997,2.325,0.0
R16,2026-07-07,13:00 UTC-7,W85,W87,Vancouver,Canada,18.883333333333333,2.15,15.666666666666666,0.08062499999999999,bajo,0.38274375,0.2345125,0.38274375,2.6355000000000004,0.0
QF,2026-07-09,16:00 UTC-4,W89,W90,Boston,United States,23.28333333333333,9.9,19.783333333333335,0.373287037037037,medio,0.3564041666666667,0.2871916666666666,0.3564041666666667,2.401370370370371,0.0
QF,2026-07-10,12:00 UTC-7,W93,W94,Los Angeles,United States,23.166666666666668,0.0,18.016666666666666,0.04879629629629634,bajo,0.38560833333333333,0.22878333333333334,0.38560833333333333,2.660962962962963,0.0
QF,2026-07-11,17:00 UTC-4,W91,W92,Miami,United States,28.116666666666664,3.4,17.2,0.382361111111111,medio,0.3555875,0.288825,0.3555875,2.3941111111111115,0.0
QF,2026-07-11,20:00 UTC-5,W95,W96,Kansas City,United States,26.28333333333333,4.95,17.650000000000002,0.3640972222222222,medio,0.35723125,0.2855375,0.35723125,2.4087222222222224,0.0
SF,2026-07-14,14:00 UTC-5,W97,W98,Dallas,United States,30.116666666666664,2.783333333333333,24.45,0.5142361111111109,alto,0.34371875,0.31256249999999997,0.34371875,2.2886111111111114,0.0
SF,2026-07-15,15:00 UTC-4,W99,W100,Atlanta,United States,27.21666666666667,1.0999999999999999,14.6,0.2586111111111112,medio,0.36672499999999997,0.26655,0.36672499999999997,2.4931111111111113,0.0
3P,2026-07-18,17:00 UTC-4,L101,L102,Miami,United States,28.333333333333332,4.066666666666666,18.650000000000002,0.42361111111111105,medio,0.351875,0.29625,0.351875,2.361111111111111,0.0
F,2026-07-19,15:00 UTC-4,W101,W102,New York/New Jersey,United States,25.03333333333333,0.8833333333333333,17.616666666666667,0.1595138888888888,bajo,0.37564375,0.24871249999999998,0.37564375,2.5723888888888893,0.0
